Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield,NPK_Ratio,Pesticide_Ratio,Rainfall_Per_Area
0,2025,4,2,53315.2180212974,112651.89416118333,2149.288090442028,7952860.36439057,15112.803611535202,2.112940701399424,149.16679814033031,0.28346134879347606,0.040312844441215065
0,2025,1,2,50911.96944270224,114288.82806220779,2102.1226290544914,7455597.29102973,15578.625054113003,2.2448321939466838,146.44095234658852,0.3059914048629689,0.041289359890512176
0,2025,4,12,55175.45646814174,122937.09357699646,2016.0333828374094,7629603.050369536,15185.040390772656,2.2281119440847803,138.27892941447365,0.2752136794652616,0.0365385900160421
0,2025,1,12,49810.29326203443,106696.93468180642,2186.60601701707,7607082.4599012695,14491.126944188441,2.142065980629975,152.72109360776267,0.29092635267083694,0.04389867783982128
0,2025,4,13,52964.404465772684,101539.59609489044,1903.9539825930933,7441425.554491548,15695.715163804278,1.917129006151832,140.49861656238272,0.2963445982659421,0.035947803091479866
0,2025,1,13,57305.69222926785,120718.48944558126,2022.1519548929962,7208465.364380104,15753.737199868958,2.106570652049928,125.7896918082862,0.2749070220954947,0.03528710458295831
0,2025,4,17,53739.42695337984,106342.92408551397,2073.6521351170277,7662755.820129256,15759.838656454784,1.978862263971829,142.5909477370659,0.2932639879120184,0.0385871650048663
0,2025,1,17,59482.803758265734,117452.86296113525,2167.709373564067,7344476.514539893,15729.870528787334,1.9745683717004345,123.47226510013499,0.26444399952484604,0.036442622684255056
0,2025,4,29,58103.46995152962,127288.63582238229,2197.7722821604334,7907803.08118413,14561.081576022929,2.190723478796834,136.09863727210927,0.25060605826416044,0.037825146828473974
0,2025,1,29,50385.362709118,96588.23093951652,1909.095193457006,7625244.879390728,15803.321108723043,1.9169898904396971,151.33849335197547,0.3136490492280051,0.03788987695649804
0,2026,4,2,54178.516580978976,115649.21421862145,2101.1421556565574,7480954.300806662,15900.454617859183,2.1345954359190342,138.0797181780551,0.29348264997424317,0.03878183250949745
0,2026,1,2,53389.24407641325,113726.59116321486,1998.5926170272874,7706165.556088954,15178.37040211361,2.130140501716861,144.33928948421746,0.2842964095987124,0.03743436813165599
0,2026,4,12,54605.12348105749,121437.82013431836,1964.5623206102377,7473879.935014109,15628.581617189559,2.2239272140176576,136.87140434004874,0.28621090148456696,0.035977618863763654
0,2026,1,12,57455.63611036781,119976.81485999023,2085.855079213203,7922370.32340086,14941.717079490278,2.088164416620923,137.88673939981453,0.2600565948097485,0.036303750518163924
0,2026,4,13,52496.96351037207,104505.65205714772,2089.8523593001755,7305352.729622241,14657.894219768903,1.9906989865518612,139.15762438676836,0.2792141342969841,0.03980901407540026
0,2026,1,13,55446.887211912144,114504.2775471331,1920.2076982561932,7960915.289051868,14679.565118223225,2.065116425914224,143.57731676849758,0.264750031180641,0.03463147878648917
0,2026,4,17,54944.42127760926,123640.61376393637,1993.6676534667856,7617514.6103471415,14711.60151022159,2.2502851224737883,138.64036481264026,0.26775423542802523,0.03628516976079676
0,2026,1,17,49099.167116855235,112270.62847139855,2271.2813936587704,7275146.917003429,14806.311692223635,2.2866096323833,148.17251175949065,0.3015593249674653,0.0462590615489089
0,2026,4,29,57552.69758874496,131422.37301414637,2026.2553691356757,7856868.288848051,15509.2268102975,2.2835136930201414,136.51607340790477,0.26947871186024985,0.03520695734567847
0,2026,1,29,56310.352320032005,112571.92585372752,2315.5788658519764,7531281.937837109,15231.495283730059,1.9991337510008946,133.74595660553004,0.2704919194460725,0.04112172576530347
